slot,seq,year,month,day,round,flags_hex,home_idx,home_name,away_idx,away_name,n_home_lineup,n_away_lineup
56,56,2021,10,3,14,0x60050011,19,狼队,10,利物浦,11,11
57,57,2021,10,3,15,0x60050011,0,阿森纳,12,曼联,11,11
58,58,2021,10,3,15,0x60050011,11,曼城,4,切尔西,11,11
59,59,2021,10,3,15,0x60050011,16,托特纳姆热刺,9,莱斯特城,11,11
60,60,2021,10,24,13,0x60060011,3,伯恩利,1,阿斯顿维拉,11,11
61,61,2021,10,24,16,0x60060011,8,利兹联,13,纽卡斯尔联,11,11
62,62,2021,10,24,12,0x60060011,7,富勒姆,15,南安普顿,11,11
63,63,2021,10,24,12,0x60060011,5,水晶宫,14,谢菲尔德联,11,11
64,64,2021,10,24,12,0x60060011,257,沃特福德,6,埃弗顿,11,11
65,65,2021,10,24,16,0x60060011,248,诺维奇,19,狼队,11,11
66,66,2021,10,24,12,0x60060011,10,利物浦,0,阿森纳,11,11
67,67,2021,10,24,15,0x60060011,12,曼联,11,曼城,11,11
68,68,2021,10,24,13,0x60060011,4,切尔西,16,托特纳姆热刺,11,11
69,69,2021,10,24,15,0x60060011,238,伯恩茅斯,9,莱斯特城,11,11
70,70,2021,10,28,14,0x60070011,6,埃弗顿,3,伯恩利,11,11
71,71,2021,10,28,15,0x60070011,1,阿斯顿维拉,8,利兹联,11,11
72,72,2021,10,28,12,0x60070011,13,纽卡斯尔联,7,富勒姆,11,11
73,73,2021,10,28,13,0x60070011,15,南安普顿,5,水晶宫,11,11
74,74,2021,10,28,16,0x60070011,14,谢菲尔德联,238,伯恩茅斯,11,11
75,75,2021,10,28,13,0x60070011,19,狼队,257,沃特福德,11,11
76,76,2021,10,28,12,0x60070011,0,阿森纳,248,诺维奇,11,11
77,77,2021,10,28,19,0x60070011,11,曼城,10,利物浦,11,11
78,78,2021,10,28,12,0x60070011,16,托特纳姆热刺,12,曼联,11,11
79,79,2021,10,28,15,0x60070011,9,莱斯特城,4,切尔西,11,11
80,80,2021,10,31,14,0x60080011,3,伯恩利,19,狼队,11,11
81,81,2021,10,31,20,0x60080011,8,利兹联,6,埃弗顿,11,11
82,82,2021,10,31,15,0x60080011,7,富勒姆,1,阿斯顿维拉,11,11
83,83,2021,10,31,14,0x60080011,5,水晶宫,13,纽卡斯尔联,11,11
84,84,2021,10,31,14,0x60080011,14,谢菲尔德联,15,南安普顿,11,11
85,85,2021,10,31,20,0x60080011,257,沃特福德,0,阿森纳,11,11
86,86,2021,10,31,14,0x60080011,248,诺维奇,11,曼城,11,11
87,87,2021,10,31,12,0x60080011,10,利物浦,16,托特纳姆热刺,11,11
88,88,2021,10,31,12,0x60080011,12,曼联,9,莱斯特城,11,11
89,89,2021,10,31,12,0x60080011,238,伯恩茅斯,4,切尔西,11,11
90,90,2021,11,7,19,0x60090011,0,阿森纳,3,伯恩利,11,11
91,91,2021,11,7,13,0x60090011,19,狼队,8,利兹联,11,11
92,92,2021,11,7,13,0x60090011,6,埃弗顿,7,富勒姆,11,11
93,93,2021,11,7,13,0x60090011,1,阿斯顿维拉,5,水晶宫,11,11
94,94,2021,11,7,13,0x60090011,13,纽卡斯尔联,14,谢菲尔德联,11,11
95,95,2021,11,7,12,0x60090011,15,南安普顿,238,伯恩茅斯,11,11
96,96,2021,11,7,15,0x60090011,11,曼城,257,沃特福德,11,11
97,97,2021,11,7,14,0x60090011,16,托特纳姆热刺,248,诺维奇,11,11
98,98,2021,11,7,19,0x60090011,9,莱斯特城,10,利物浦,11,11
99,99,2021,11,7,12,0x60090011,4,切尔西,12,曼联,11,11
100,100,2021,11,18,14,0x600A0011,3,伯恩利,11,曼城,11,11
101,101,2021,11,18,16,0x600A0011,8,利兹联,0,阿森纳,11,11
102,102,2021,11,18,14,0x600A0011,7,富勒姆,19,狼队,11,11
103,103,2021,11,18,14,0x600A0011,5,水晶宫,6,埃弗顿,11,11
104,104,2021,11,18,14,0x600A0011,14,谢菲尔德联,1,阿斯顿维拉,11,11
105,105,2021,11,18,16,0x600A0011,15,南安普顿,13,纽卡斯尔联,11,11
106,106,2021,11,18,19,0x600A0011,257,沃特福德,16,托特纳姆热刺,11,11
107,107,2021,11,18,20,0x600A0011,248,诺维奇,9,莱斯特城,11,11
108,108,2021,11,18,12,0x600A0011,10,利物浦,4,切尔西,11,11
109,109,2021,11,18,13,0x600A0011,238,伯恩茅斯,12,曼联,11,11
110,110,2021,11,21,14,0x600B0011,16,托特纳姆热刺,3,伯恩利,11,11
111,111,2021,11,21,12,0x600B0011,11,曼城,8,利兹联,11,11
112,112,2021,11,21,14,0x600B0011,0,阿森纳,7,富勒姆,11,11
113,113,2021,11,21,16,0x600B0011,19,狼队,5,水晶宫,11,11
114,114,2021,11,21,16,0x600B0011,6,埃弗顿,14,谢菲尔德联,11,11
115,115,2021,11,21,15,0x600B0011,1,阿斯顿维拉,15,南安普顿,11,11
116,116,2021,11,21,15,0x600B0011,13,纽卡斯尔联,238,伯恩茅斯,11,11
117,117,2021,11,21,15,0x600B0011,9,莱斯特城,257,沃特福德,11,11
118,118,2021,11,21,12,0x600B0011,4,切尔西,248,诺维奇,11,11
119,119,2021,11,21,15,0x600B0011,12,曼联,10,利物浦,11,11
120,120,2021,11,28,13,0x600C0011,3,伯恩利,9,莱斯特城,11,11
121,121,2021,11,28,13,0x600C0011,8,利兹联,16,托特纳姆热刺,11,11
122,122,2021,11,28,15,0x600C0011,7,富勒姆,11,曼城,11,11
123,123,2021,11,28,16,0x600C0011,5,水晶宫,0,阿森纳,11,11
124,124,2021,11,28,13,0x600C0011,14,谢菲尔德联,19,狼队,11,11
125,125,2021,11,28,15,0x600C0011,15,南安普顿,6,埃弗顿,11,11
126,126,2021,11,28,12,0x600C0011,13,纽卡斯尔联,1,阿斯顿维拉,11,11
127,127,2021,11,28,12,0x600C0011,257,沃特福德,4,切尔西,11,11
128,128,2021,11,28,14,0x600C0011,248,诺维奇,12,曼联,11,11
129,129,2021,11,28,13,0x600C0011,238,伯恩茅斯,10,利物浦,11,11
130,130,2021,12,2,14,0x600D0011,4,切尔西,3,伯恩利,11,11
131,131,2021,12,2,13,0x600D0011,9,莱斯特城,8,利兹联,11,11
132,132,2021,12,2,16,0x600D0011,16,托特纳姆热刺,7,富勒姆,11,11
133,133,2021,12,2,16,0x600D0011,11,曼城,5,水晶宫,11,11
134,134,2021,12,2,16,0x600D0011,0,阿森纳,14,谢菲尔德联,11,11
135,135,2021,12,2,16,0x600D0011,19,狼队,15,南安普顿,11,11
136,136,2021,12,2,19,0x600D0011,6,埃弗顿,13,纽卡斯尔联,11,11
137,137,2021,12,2,16,0x600D0011,1,阿斯顿维拉,238,伯恩茅斯,11,11
138,138,2021,12,2,16,0x600D0011,12,曼联,257,沃特福德,11,11
139,139,2021,12,2,16,0x600D0011,10,利物浦,248,诺维奇,11,11
140,140,2021,12,5,15,0x600E0011,3,伯恩利,12,曼联,11,11
141,141,2021,12,5,14,0x600E0011,8,利兹联,4,切尔西,11,11
142,142,2021,12,5,14,0x600E0011,7,富勒姆,9,莱斯特城,11,11
143,143,2021,12,5,16,0x600E0011,5,水晶宫,16,托特纳姆热刺,11,11
144,144,2021,12,5,16,0x600E0011,14,谢菲尔德联,11,曼城,11,11
145,145,2021,12,5,14,0x600E0011,15,南安普顿,0,阿森纳,11,11
146,146,2021,12,5,15,0x600E0011,13,纽卡斯尔联,19,狼队,11,11
147,147,2021,12,5,14,0x600E0011,1,阿斯顿维拉,6,埃弗顿,11,11
148,148,2021,12,5,13,0x600E0011,257,沃特福德,10,利物浦,11,11
149,149,2021,12,5,15,0x600E0011,238,伯恩茅斯,248,诺维奇,11,11
150,150,2021,12,12,14,0x200F0011,10,利物浦,3,伯恩利,0,0
151,151,2021,12,12,12,0x200F0011,12,曼联,8,利兹联,0,0
152,152,2021,12,12,13,0x200F0011,4,切尔西,7,富勒姆,0,0
153,153,2021,12,12,16,0x200F0011,9,莱斯特城,5,水晶宫,0,0
154,154,2021,12,12,12,0x200F0011,16,托特纳姆热刺,14,谢菲尔德联,0,0
155,155,2021,12,12,16,0x200F0011,11,曼城,15,南安普顿,0,0
156,156,2021,12,12,12,0x200F0011,0,阿森纳,13,纽卡斯尔联,0,0
157,157,2021,12,12,15,0x200F0011,19,狼队,1,阿斯顿维拉,0,0
158,158,2021,12,12,14,0x200F0011,6,埃弗顿,238,伯恩茅斯,0,0
159,159,2021,12,12,16,0x200F0011,248,诺维奇,257,沃特福德,0,0
160,160,2021,12,23,14,0x20100011,3,伯恩利,248,诺维奇,0,0
161,161,2021,12,23,15,0x20100011,8,利兹联,10,利物浦,0,0
162,162,2021,12,23,20,0x20100011,7,富勒姆,12,曼联,0,0
163,163,2021,12,23,16,0x20100011,5,水晶宫,4,切尔西,0,0
164,164,2021,12,23,12,0x20100011,14,谢菲尔德联,9,莱斯特城,0,0
165,165,2021,12,23,15,0x20100011,15,南安普顿,16,托特纳姆热刺,0,0
166,166,2021,12,23,13,0x20100011,13,纽卡斯尔联,11,曼城,0,0
167,167,2021,12,23,16,0x20100011,1,阿斯顿维拉,0,阿森纳,0,0
168,168,2021,12,23,14,0x20100011,6,埃弗顿,19,狼队,0,0
169,169,2021,12,23,14,0x20100011,238,伯恩茅斯,257,沃特福德,0,0
170,170,2021,12,26,13,0x20110011,257,沃特福德,3,伯恩利,0,0
171,171,2021,12,26,15,0x20110011,248,诺维奇,8,利兹联,0,0
172,172,2021,12,26,20,0x20110011,10,利物浦,7,富勒姆,0,0
173,173,2021,12,26,13,0x20110011,12,曼联,5,水晶宫,0,0
174,174,2021,12,26,16,0x20110011,4,切尔西,14,谢菲尔德联,0,0
175,175,2021,12,26,14,0x20110011,9,莱斯特城,15,南安普顿,0,0
176,176,2021,12,26,15,0x20110011,16,托特纳姆热刺,13,纽卡斯尔联,0,0
177,177,2021,12,26,15,0x20110011,11,曼城,1,阿斯顿维拉,0,0
178,178,2021,12,26,20,0x20110011,0,阿森纳,6,埃弗顿,0,0
179,179,2021,12,26,13,0x20110011,19,狼队,238,伯恩茅斯,0,0
180,180,2021,12,30,15,0x20120011,238,伯恩茅斯,3,伯恩利,0,0
181,181,2021,12,30,16,0x20120011,8,利兹联,257,沃特福德,0,0
182,182,2021,12,30,15,0x20120011,7,富勒姆,248,诺维奇,0,0
183,183,2021,12,30,15,0x20120011,5,水晶宫,10,利物浦,0,0
184,184,2021,12,30,14,0x20120011,14,谢菲尔德联,12,曼联,0,0
185,185,2021,12,30,19,0x20120011,15,南安普顿,4,切尔西,0,0
186,186,2021,12,30,13,0x20120011,13,纽卡斯尔联,9,莱斯特城,0,0
187,187,2021,12,30,13,0x20120011,1,阿斯顿维拉,16,托特纳姆热刺,0,0
188,188,2021,12,30,14,0x20120011,6,埃弗顿,11,曼城,0,0
189,189,2021,12,30,13,0x20120011,19,狼队,0,阿森纳,0,0
190,190,2022,1,3,19,0x20130011,8,利兹联,3,伯恩利,0,0
191,191,2022,1,3,12,0x20130011,7,富勒姆,257,沃特福德,0,0
192,192,2022,1,3,16,0x20130011,5,水晶宫,248,诺维奇,0,0
193,193,2022,1,3,12,0x20130011,14,谢菲尔德联,10,利物浦,0,0
194,194,2022,1,3,14,0x20130011,15,南安普顿,12,曼联,0,0
195,195,2022,1,3,13,0x20130011,13,纽卡斯尔联,4,切尔西,0,0
196,196,2022,1,3,16,0x20130011,1,阿斯顿维拉,9,莱斯特城,0,0
197,197,2022,1,3,14,0x20130011,6,埃弗顿,16,托特纳姆热刺,0,0
198,198,2022,1,3,16,0x20130011,19,狼队,11,曼城,0,0
199,199,2022,1,3,16,0x20130011,0,阿森纳,238,伯恩茅斯,0,0
200,200,2022,1,14,16,0x20140011,3,伯恩利,7,富勒姆,0,0
201,201,2022,1,14,12,0x20140011,238,伯恩茅斯,8,利兹联,0,0
202,202,2022,1,14,15,0x20140011,257,沃特福德,5,水晶宫,0,0
203,203,2022,1,14,20,0x20140011,248,诺维奇,14,谢菲尔德联,0,0
204,204,2022,1,14,14,0x20140011,10,利物浦,15,南安普顿,0,0
205,205,2022,1,14,14,0x20140011,12,曼联,13,纽卡斯尔联,0,0
206,206,2022,1,14,16,0x20140011,4,切尔西,1,阿斯顿维拉,0,0
207,207,2022,1,14,15,0x20140011,9,莱斯特城,6,埃弗顿,0,0
208,208,2022,1,14,15,0x20140011,16,托特纳姆热刺,19,狼队,0,0
209,209,2022,1,14,19,0x20140011,11,曼城,0,阿森纳,0,0
210,210,2022,1,17,16,0x20150011,5,水晶宫,3,伯恩利,0,0
211,211,2022,1,17,12,0x20150011,7,富勒姆,8,利兹联,0,0
212,212,2022,1,17,20,0x20150011,14,谢菲尔德联,257,沃特福德,0,0
213,213,2022,1,17,13,0x20150011,15,南安普顿,248,诺维奇,0,0
214,214,2022,1,17,16,0x20150011,13,纽卡斯尔联,10,利物浦,0,0
215,215,2022,1,17,15,0x20150011,1,阿斯顿维拉,12,曼联,0,0
216,216,2022,1,17,19,0x20150011,6,埃弗顿,4,切尔西,0,0
217,217,2022,1,17,15,0x20150011,19,狼队,9,莱斯特城,0,0
218,218,2022,1,17,19,0x20150011,0,阿森纳,16,托特纳姆热刺,0,0
219,219,2022,1,17,16,0x20150011,11,曼城,238,伯恩茅斯,0,0
220,220,2022,1,21,14,0x20160011,3,伯恩利,14,谢菲尔德联,0,0
221,221,2022,1,21,16,0x20160011,8,利兹联,5,水晶宫,0,0
222,222,2022,1,21,13,0x20160011,238,伯恩茅斯,7,富勒姆,0,0
223,223,2022,1,21,12,0x20160011,257,沃特福德,15,南安普顿,0,0
224,224,2022,1,21,12,0x20160011,248,诺维奇,13,纽卡斯尔联,0,0
225,225,2022,1,21,13,0x20160011,10,利物浦,1,阿斯顿维拉,0,0
226,226,2022,1,21,15,0x20160011,12,曼联,6,埃弗顿,0,0
227,227,2022,1,21,12,0x20160011,4,切尔西,19,狼队,0,0
228,228,2022,1,21,12,0x20160011,9,莱斯特城,0,阿森纳,0,0
229,229,2022,1,21,15,0x20160011,16,托特纳姆热刺,11,曼城,0,0
230,230,2022,1,24,14,0x20170011,15,南安普顿,3,伯恩利,0,0
231,231,2022,1,24,14,0x20170011,14,谢菲尔德联,8,利兹联,0,0
232,232,2022,1,24,16,0x20170011,5,水晶宫,7,富勒姆,0,0
233,233,2022,1,24,13,0x20170011,13,纽卡斯尔联,257,沃特福德,0,0
234,234,2022,1,24,13,0x20170011,1,阿斯顿维拉,248,诺维奇,0,0
235,235,2022,1,24,13,0x20170011,6,埃弗顿,10,利物浦,0,0
236,236,2022,1,24,12,0x20170011,19,狼队,12,曼联,0,0
237,237,2022,1,24,15,0x20170011,0,阿森纳,4,切尔西,0,0
238,238,2022,1,24,16,0x20170011,11,曼城,9,莱斯特城,0,0
239,239,2022,1,24,13,0x20170011,16,托特纳姆热刺,238,伯恩茅斯,0,0
240,240,2022,2,1,12,0x20180011,3,伯恩利,13,纽卡斯尔联,0,0
241,241,2022,2,1,15,0x20180011,8,利兹联,15,南安普顿,0,0
242,242,2022,2,1,16,0x20180011,7,富勒姆,14,谢菲尔德联,0,0
243,243,2022,2,1,16,0x20180011,238,伯恩茅斯,5,水晶宫,0,0
244,244,2022,2,1,15,0x20180011,257,沃特福德,1,阿斯顿维拉,0,0
245,245,2022,2,1,20,0x20180011,248,诺维奇,6,埃弗顿,0,0
246,246,2022,2,1,16,0x20180011,10,利物浦,19,狼队,0,0
247,247,2022,2,1,14,0x20180011,12,曼联,0,阿森纳,0,0
248,248,2022,2,1,14,0x20180011,4,切尔西,11,曼城,0,0
249,249,2022,2,1,20,0x20180011,9,莱斯特城,16,托特纳姆热刺,0,0
250,250,2022,2,4,15,0x20190011,1,阿斯顿维拉,3,伯恩利,0,0
251,251,2022,2,4,14,0x20190011,13,纽卡斯尔联,8,利兹联,0,0
252,252,2022,2,4,13,0x20190011,15,南安普顿,7,富勒姆,0,0
253,253,2022,2,4,15,0x20190011,14,谢菲尔德联,5,水晶宫,0,0
254,254,2022,2,4,16,0x20190011,6,埃弗顿,257,沃特福德,0,0
255,255,2022,2,4,12,0x20190011,19,狼队,248,诺维奇,0,0
256,256,2022,2,4,16,0x20190011,0,阿森纳,10,利物浦,0,0
257,257,2022,2,4,13,0x20190011,11,曼城,12,曼联,0,0
258,258,2022,2,4,16,0x20190011,16,托特纳姆热刺,4,切尔西,0,0
259,259,2022,2,4,12,0x20190011,9,莱斯特城,238,伯恩茅斯,0,0
260,260,2022,2,7,16,0x201A0011,3,伯恩利,6,埃弗顿,0,0
261,261,2022,2,7,14,0x201A0011,8,利兹联,1,阿斯顿维拉,0,0
262,262,2022,2,7,12,0x201A0011,7,富勒姆,13,纽卡斯尔联,0,0
263,263,2022,2,7,16,0x201A0011,5,水晶宫,15,南安普顿,0,0
264,264,2022,2,7,14,0x201A0011,238,伯恩茅斯,14,谢菲尔德联,0,0
265,265,2022,2,7,16,0x201A0011,257,沃特福德,19,狼队,0,0
266,266,2022,2,7,12,0x201A0011,248,诺维奇,0,阿森纳,0,0
267,267,2022,2,7,14,0x201A0011,10,利物浦,11,曼城,0,0
268,268,2022,2,7,14,0x201A0011,12,曼联,16,托特纳姆热刺,0,0
269,269,2022,2,7,14,0x201A0011,4,切尔西,9,莱斯特城,0,0
270,270,2022,2,21,14,0x201B0011,19,狼队,3,伯恩利,0,0
271,271,2022,2,21,14,0x201B0011,6,埃弗顿,8,利兹联,0,0
272,272,2022,2,21,14,0x201B0011,1,阿斯顿维拉,7,富勒姆,0,0
273,273,2022,2,21,13,0x201B0011,13,纽卡斯尔联,5,水晶宫,0,0
274,274,2022,2,21,15,0x201B0011,15,南安普顿,14,谢菲尔德联,0,0
275,275,2022,2,21,14,0x201B0011,0,阿森纳,257,沃特福德,0,0
276,276,2022,2,21,14,0x201B0011,11,曼城,248,诺维奇,0,0
277,277,2022,2,21,16,0x201B0011,16,托特纳姆热刺,10,利物浦,0,0
278,278,2022,2,21,13,0x201B0011,9,莱斯特城,12,曼联,0,0
279,279,2022,2,21,12,0x201B0011,4,切尔西,238,伯恩茅斯,0,0
280,280,2022,2,28,13,0x201C0011,3,伯恩利,0,阿森纳,0,0
281,281,2022,2,28,12,0x201C0011,8,利兹联,19,狼队,0,0
282,282,2022,2,28,13,0x201C0011,7,富勒姆,6,埃弗顿,0,0
283,283,2022,2,28,13,0x201C0011,5,水晶宫,1,阿斯顿维拉,0,0
284,284,2022,2,28,14,0x201C0011,14,谢菲尔德联,13,纽卡斯尔联,0,0
285,285,2022,2,28,16,0x201C0011,238,伯恩茅斯,15,南安普顿,0,0
286,286,2022,2,28,15,0x201C0011,257,沃特福德,11,曼城,0,0
287,287,2022,2,28,14,0x201C0011,248,诺维奇,16,托特纳姆热刺,0,0
288,288,2022,2,28,13,0x201C0011,10,利物浦,9,莱斯特城,0,0
289,289,2022,2,28,16,0x201C0011,12,曼联,4,切尔西,0,0
290,290,2022,3,7,12,0x201D0011,11,曼城,3,伯恩利,0,0
291,291,2022,3,7,14,0x201D0011,0,阿森纳,8,利兹联,0,0
292,292,2022,3,7,14,0x201D0011,19,狼队,7,富勒姆,0,0
293,293,2022,3,7,12,0x201D0011,6,埃弗顿,5,水晶宫,0,0
294,294,2022,3,7,14,0x201D0011,1,阿斯顿维拉,14,谢菲尔德联,0,0
295,295,2022,3,7,15,0x201D0011,13,纽卡斯尔联,15,南安普顿,0,0
296,296,2022,3,7,15,0x201D0011,16,托特纳姆热刺,257,沃特福德,0,0
297,297,2022,3,7,12,0x201D0011,9,莱斯特城,248,诺维奇,0,0
298,298,2022,3,7,13,0x201D0011,4,切尔西,10,利物浦,0,0
299,299,2022,3,7,13,0x201D0011,12,曼联,238,伯恩茅斯,0,0
300,300,2022,3,14,14,0x201E0011,3,伯恩利,16,托特纳姆热刺,0,0
301,301,2022,3,14,12,0x201E0011,8,利兹联,11,曼城,0,0
302,302,2022,3,14,12,0x201E0011,7,富勒姆,0,阿森纳,0,0
303,303,2022,3,14,14,0x201E0011,5,水晶宫,19,狼队,0,0
304,304,2022,3,14,19,0x201E0011,14,谢菲尔德联,6,埃弗顿,0,0
305,305,2022,3,14,15,0x201E0011,15,南安普顿,1,阿斯顿维拉,0,0
306,306,2022,3,14,12,0x201E0011,238,伯恩茅斯,13,纽卡斯尔联,0,0
307,307,2022,3,14,12,0x201E0011,257,沃特福德,9,莱斯特城,0,0
308,308,2022,3,14,13,0x201E0011,248,诺维奇,4,切尔西,0,0
309,309,2022,3,14,20,0x201E0011,10,利物浦,12,曼联,0,0
310,310,2022,3,21,15,0x201F0011,9,莱斯特城,3,伯恩利,0,0
311,311,2022,3,21,14,0x201F0011,16,托特纳姆热刺,8,利兹联,0,0
312,312,2022,3,21,15,0x201F0011,11,曼城,7,富勒姆,0,0
313,313,2022,3,21,14,0x201F0011,0,阿森纳,5,水晶宫,0,0
314,314,2022,3,21,15,0x201F0011,19,狼队,14,谢菲尔德联,0,0
315,315,2022,3,21,16,0x201F0011,6,埃弗顿,15,南安普顿,0,0
316,316,2022,3,21,12,0x201F0011,1,阿斯顿维拉,13,纽卡斯尔联,0,0
317,317,2022,3,21,12,0x201F0011,4,切尔西,257,沃特福德,0,0
318,318,2022,3,21,13,0x201F0011,12,曼联,248,诺维奇,0,0
319,319,2022,3,21,16,0x201F0011,10,利物浦,238,伯恩茅斯,0,0
320,320,2022,4,11,19,0x20200011,3,伯恩利,4,切尔西,0,0
321,321,2022,4,11,16,0x20200011,8,利兹联,9,莱斯特城,0,0
322,322,2022,4,11,16,0x20200011,7,富勒姆,16,托特纳姆热刺,0,0
323,323,2022,4,11,20,0x20200011,5,水晶宫,11,曼城,0,0
324,324,2022,4,11,12,0x20200011,14,谢菲尔德联,0,阿森纳,0,0
325,325,2022,4,11,13,0x20200011,15,南安普顿,19,狼队,0,0
326,326,2022,4,11,16,0x20200011,13,纽卡斯尔联,6,埃弗顿,0,0
327,327,2022,4,11,16,0x20200011,238,伯恩茅斯,1,阿斯顿维拉,0,0
328,328,2022,4,11,13,0x20200011,257,沃特福德,12,曼联,0,0
329,329,2022,4,11,16,0x20200011,248,诺维奇,10,利物浦,0,0
330,330,2022,4,18,15,0x20210011,12,曼联,3,伯恩利,0,0
331,331,2022,4,18,16,0x20210011,4,切尔西,8,利兹联,0,0
332,332,2022,4,18,12,0x20210011,9,莱斯特城,7,富勒姆,0,0
333,333,2022,4,18,14,0x20210011,16,托特纳姆热刺,5,水晶宫,0,0
334,334,2022,4,18,12,0x20210011,11,曼城,14,谢菲尔德联,0,0
335,335,2022,4,18,14,0x20210011,0,阿森纳,15,南安普顿,0,0
336,336,2022,4,18,19,0x20210011,19,狼队,13,纽卡斯尔联,0,0
337,337,2022,4,18,12,0x20210011,6,埃弗顿,1,阿斯顿维拉,0,0
338,338,2022,4,18,14,0x20210011,10,利物浦,257,沃特福德,0,0
339,339,2022,4,18,12,0x20210011,248,诺维奇,238,伯恩茅斯,0,0
340,340,2022,4,25,13,0x20220011,3,伯恩利,10,利物浦,0,0
341,341,2022,4,25,14,0x20220011,8,利兹联,12,曼联,0,0
342,342,2022,4,25,16,0x20220011,7,富勒姆,4,切尔西,0,0
