seq,year,month,day,round
416,2020,9,23,12
417,2020,9,23,15
418,2020,9,23,17
419,2020,9,23,15
420,2020,9,26,12
421,2020,9,26,21
422,2020,9,26,13
423,2020,9,26,19
424,2020,9,26,13
425,2020,9,26,19
426,2020,9,26,13
427,2020,9,26,13
428,2020,9,26,11
429,2020,9,26,17
430,2020,10,3,13
431,2020,10,3,13
432,2020,10,3,19
433,2020,10,3,14
434,2020,10,3,13
435,2020,10,3,19
436,2020,10,3,19
437,2020,10,3,15
438,2020,10,3,14
439,2020,10,3,11
440,2020,10,24,12
441,2020,10,24,14
442,2020,10,24,14
443,2020,10,24,17
444,2020,10,24,13
445,2020,10,24,14
446,2020,10,24,14
447,2020,10,24,12
448,2020,10,24,12
449,2020,10,24,19
450,2020,10,28,14
451,2020,10,28,20
452,2020,10,28,14
453,2020,10,28,14
454,2020,10,28,12
455,2020,10,28,11
456,2020,10,28,13
457,2020,10,28,20
458,2020,10,28,19
459,2020,10,28,14
460,2020,10,31,11
461,2020,10,31,15
462,2020,10,31,12
463,2020,10,31,18
464,2020,10,31,14
465,2020,10,31,15
466,2020,10,31,15
467,2020,10,31,20
468,2020,10,31,17
469,2020,10,31,15
470,2020,11,7,18
471,2020,11,7,19
472,2020,11,7,11
473,2020,11,7,12
474,2020,11,7,14
475,2020,11,7,20
476,2020,11,7,11
477,2020,11,7,21
478,2020,11,7,20
479,2020,11,7,17
480,2020,11,18,20
481,2020,11,18,17
482,2020,11,18,14
483,2020,11,18,14
484,2020,11,18,11
485,2020,11,18,18
486,2020,11,18,19
487,2020,11,18,13
488,2020,11,18,19
489,2020,11,18,21
490,2020,11,21,21
491,2020,11,21,13
492,2020,11,21,18
493,2020,11,21,14
494,2020,11,21,15
495,2020,11,21,18
496,2020,11,21,14
497,2020,11,21,13
498,2020,11,21,15
499,2020,11,21,13
500,2020,11,28,17
501,2020,11,28,18
502,2020,11,28,21
503,2020,11,28,14
504,2020,11,28,14
505,2020,11,28,11
506,2020,11,28,20
507,2020,11,28,12
508,2020,11,28,21
509,2020,11,28,17
510,2020,12,2,17
511,2020,12,2,15
512,2020,12,2,13
513,2020,12,2,12
514,2020,12,2,12
515,2020,12,2,17
516,2020,12,2,13
517,2020,12,2,20
518,2020,12,2,12
519,2020,12,2,14
520,2020,12,5,15
521,2020,12,5,11
522,2020,12,5,17
523,2020,12,5,12
524,2020,12,5,20
525,2020,12,5,21
526,2020,12,5,17
527,2020,12,5,19
528,2020,12,5,11
529,2020,12,5,12
530,2020,12,12,18
531,2020,12,12,18
532,2020,12,12,19
533,2020,12,12,12
534,2020,12,12,11
535,2020,12,12,20
536,2020,12,12,11
537,2020,12,12,15
538,2020,12,12,13
539,2020,12,12,13
540,2020,12,23,14
541,2020,12,23,12
542,2020,12,23,11
543,2020,12,23,11
544,2020,12,23,17
545,2020,12,23,15
546,2020,12,23,17
547,2020,12,23,21
548,2020,12,23,11
549,2020,12,23,11
550,2020,12,26,12
551,2020,12,26,14
552,2020,12,26,11
553,2020,12,26,13
554,2020,12,26,14
555,2020,12,26,20
556,2020,12,26,12
557,2020,12,26,12
558,2020,12,26,13
559,2020,12,26,14
560,2020,12,30,21
561,2020,12,30,18
562,2020,12,30,12
563,2020,12,30,14
564,2020,12,30,15
565,2020,12,30,19
566,2020,12,30,15
567,2020,12,30,15
568,2020,12,30,11
569,2020,12,30,15
570,2021,1,3,15
571,2021,1,3,12
572,2021,1,3,12
573,2021,1,3,14
574,2021,1,3,15
575,2021,1,3,14
576,2021,1,3,21
577,2021,1,3,17
578,2021,1,3,20
579,2021,1,3,12
580,2021,1,14,11
581,2021,1,14,18
582,2021,1,14,17
583,2021,1,14,15
584,2021,1,14,19
585,2021,1,14,12
586,2021,1,14,14
587,2021,1,14,11
588,2021,1,14,13
589,2021,1,14,18
590,2021,1,17,11
591,2021,1,17,12
592,2021,1,17,21
593,2021,1,17,17
594,2021,1,17,21
595,2021,1,17,19
596,2021,1,17,14
597,2021,1,17,14
598,2021,1,17,18
599,2021,1,17,13
600,2021,1,21,21
601,2021,1,21,13
602,2021,1,21,17
603,2021,1,21,19
604,2021,1,21,15
605,2021,1,21,12
606,2021,1,21,20
607,2021,1,21,14
608,2021,1,21,11
609,2021,1,21,17
610,2021,1,24,21
611,2021,1,24,17
612,2021,1,24,19
613,2021,1,24,13
614,2021,1,24,14
615,2021,1,24,20
616,2021,1,24,20
617,2021,1,24,19
618,2021,1,24,11
619,2021,1,24,13
620,2021,2,1,13
621,2021,2,1,17
622,2021,2,1,15
623,2021,2,1,14
624,2021,2,1,21
625,2021,2,1,12
626,2021,2,1,11
627,2021,2,1,13
628,2021,2,1,11
629,2021,2,1,15
630,2021,2,4,15
631,2021,2,4,12
632,2021,2,4,14
633,2021,2,4,21
634,2021,2,4,11
635,2021,2,4,13
636,2021,2,4,15
637,2021,2,4,15
638,2021,2,4,15
639,2021,2,4,14
640,2021,2,7,19
641,2021,2,7,19
642,2021,2,7,18
643,2021,2,7,12
644,2021,2,7,21
645,2021,2,7,13
646,2021,2,7,20
647,2021,2,7,12
648,2021,2,7,13
649,2021,2,7,14
650,2021,2,21,11
651,2021,2,21,21
652,2021,2,21,18
653,2021,2,21,18
654,2021,2,21,11
655,2021,2,21,17
656,2021,2,21,11
657,2021,2,21,13
658,2021,2,21,14
659,2021,2,21,20
660,2021,2,28,11
661,2021,2,28,11
662,2021,2,28,13
663,2021,2,28,19
664,2021,2,28,20
665,2021,2,28,12
666,2021,2,28,19
667,2021,2,28,20
668,2021,2,28,12
669,2021,2,28,11
670,2021,3,7,20
671,2021,3,7,12
672,2021,3,7,15
673,2021,3,7,20
674,2021,3,7,17
675,2021,3,7,18
676,2021,3,7,12
677,2021,3,7,17
678,2021,3,7,13
679,2021,3,7,15
680,2021,3,14,14
681,2021,3,14,13
682,2021,3,14,19
683,2021,3,14,14
684,2021,3,14,13
685,2021,3,14,12
686,2021,3,14,15
687,2021,3,14,21
688,2021,3,14,20
689,2021,3,14,19
690,2021,3,21,15
691,2021,3,21,14
692,2021,3,21,20
693,2021,3,21,14
694,2021,3,21,19
695,2021,3,21,11
696,2021,3,21,21
697,2021,3,21,18
698,2021,3,21,20
699,2021,3,21,20
700,2021,4,11,11
701,2021,4,11,17
702,2021,4,11,14
703,2021,4,11,18
704,2021,4,11,17
705,2021,4,11,19
706,2021,4,11,14
707,2021,4,11,14
708,2021,4,11,19
709,2021,4,11,12
710,2021,4,18,21
711,2021,4,18,17
712,2021,4,18,11
713,2021,4,18,14
714,2021,4,18,18
715,2021,4,18,15
716,2021,4,18,13
717,2021,4,18,14
718,2021,4,18,13
719,2021,4,18,21
720,2021,4,25,14
721,2021,4,25,12
722,2021,4,25,12
723,2021,4,25,20
724,2021,4,25,12
725,2021,4,25,13
726,2021,4,25,14
727,2021,4,25,20
728,2021,4,25,17
729,2021,4,25,18
730,2021,5,2,13
731,2021,5,2,17
732,2021,5,2,19
733,2021,5,2,20
734,2021,5,2,14
735,2021,5,2,11
736,2021,5,2,14
737,2021,5,2,18
738,2021,5,2,20
739,2021,5,2,15
740,2021,5,9,13
741,2021,5,9,12
742,2021,5,9,18
743,2021,5,9,13
744,2021,5,9,12
745,2021,5,9,12
746,2021,5,9,13
747,2021,5,9,13
748,2021,5,9,20
749,2021,5,9,14
750,2021,5,23,17
751,2021,5,23,13
752,2021,5,23,18
753,2021,5,23,20
754,2021,5,23,21
755,2021,5,23,12
756,2021,5,23,15
757,2021,5,23,11
758,2021,5,23,12
759,2021,5,23,19
760,2020,8,22,18
761,2020,8,22,19
762,2020,8,22,20
763,2020,8,22,17
764,2020,8,22,17
765,2020,8,22,20
766,2020,8,22,16
767,2020,8,22,13
768,2020,8,22,19
769,2020,8,22,14
770,2020,8,29,17
771,2020,8,29,17
772,2020,8,29,21
773,2020,8,29,20
774,2020,8,29,20
775,2020,8,29,16
776,2020,8,29,12
777,2020,8,29,17
778,2020,8,29,18
779,2020,8,29,20
780,2020,9,19,15
781,2020,9,19,13
782,2020,9,19,12
783,2020,9,19,20
784,2020,9,19,18
785,2020,9,19,12
786,2020,9,19,13
787,2020,9,19,17
788,2020,9,19,15
789,2020,9,19,21
790,2020,9,23,15
791,2020,9,23,16
792,2020,9,23,11
793,2020,9,23,19
794,2020,9,23,16
795,2020,9,23,12
796,2020,9,23,21
797,2020,9,23,16
798,2020,9,23,20
799,2020,9,23,20
800,2020,9,26,18
801,2020,9,26,18
802,2020,9,26,17
803,2020,9,26,18
804,2020,9,26,19
805,2020,9,26,14
806,2020,9,26,13
807,2020,9,26,14
808,2020,9,26,17
809,2020,9,26,19
810,2020,10,3,11
811,2020,10,3,17
812,2020,10,3,19
813,2020,10,3,16
814,2020,10,3,18
815,2020,10,3,11
816,2020,10,3,18
817,2020,10,3,21
818,2020,10,3,11
819,2020,10,3,21
820,2020,10,24,19
821,2020,10,24,18
822,2020,10,24,18
823,2020,10,24,17
824,2020,10,24,13
825,2020,10,24,14
826,2020,10,24,20
827,2020,10,24,20
828,2020,10,24,18
829,2020,10,24,18
830,2020,10,28,12
831,2020,10,28,18
832,2020,10,28,20
833,2020,10,28,21
834,2020,10,28,19
835,2020,10,28,13
836,2020,10,28,19
837,2020,10,28,15
838,2020,10,28,20
839,2020,10,28,14
840,2020,10,31,18
841,2020,10,31,20
842,2020,10,31,11
843,2020,10,31,20
844,2020,10,31,11
845,2020,10,31,18
846,2020,10,31,19
847,2020,10,31,19
848,2020,10,31,18
849,2020,10,31,21
850,2020,11,7,18
851,2020,11,7,17
852,2020,11,7,19
853,2020,11,7,16
854,2020,11,7,16
855,2020,11,7,21
856,2020,11,7,14
857,2020,11,7,17
858,2020,11,7,17
859,2020,11,7,14
860,2020,11,18,14
861,2020,11,18,19
862,2020,11,18,16
863,2020,11,18,19
864,2020,11,18,18
865,2020,11,18,17
866,2020,11,18,19
867,2020,11,18,19
868,2020,11,18,14
869,2020,11,18,17
870,2020,11,21,21
871,2020,11,21,17
872,2020,11,21,15
873,2020,11,21,17
874,2020,11,21,14
875,2020,11,21,18
876,2020,11,21,13
877,2020,11,21,17
878,2020,11,21,18
879,2020,11,21,13
880,2020,11,28,18
881,2020,11,28,20
882,2020,11,28,17
883,2020,11,28,21
884,2020,11,28,19
885,2020,11,28,18
886,2020,11,28,17
887,2020,11,28,17
888,2020,11,28,17
889,2020,11,28,19
890,2020,12,2,21
891,2020,12,2,19
892,2020,12,2,20
893,2020,12,2,14
894,2020,12,2,18
895,2020,12,2,19
896,2020,12,2,13
897,2020,12,2,15
898,2020,12,2,18
899,2020,12,2,21
900,2020,12,5,12
901,2020,12,5,13
902,2020,12,5,18
903,2020,12,5,12
904,2020,12,5,17
905,2020,12,5,21
906,2020,12,5,11
907,2020,12,5,20
908,2020,12,5,13
909,2020,12,5,21
910,2020,12,12,18
911,2020,12,12,16
912,2020,12,12,17
913,2020,12,12,12
914,2020,12,12,14
915,2020,12,12,19
916,2020,12,12,18
917,2020,12,12,21
918,2020,12,12,18
919,2020,12,12,14
920,2020,12,23,12
921,2020,12,23,11
922,2020,12,23,17
923,2020,12,23,11
924,2020,12,23,13
925,2020,12,23,15
926,2020,12,23,15
927,2020,12,23,11
928,2020,12,23,15
929,2020,12,23,12
930,2020,12,26,19
931,2020,12,26,14
932,2020,12,26,16
933,2020,12,26,20
934,2020,12,26,11
935,2020,12,26,11
936,2020,12,26,19
937,2020,12,26,11
938,2020,12,26,12
939,2020,12,26,20
940,2020,12,30,19
941,2020,12,30,21
942,2020,12,30,17
943,2020,12,30,11
944,2020,12,30,21
945,2020,12,30,17
946,2020,12,30,15
947,2020,12,30,11
948,2020,12,30,12
949,2020,12,30,11
950,2021,1,3,16
951,2021,1,3,21
952,2021,1,3,11
953,2021,1,3,21
954,2021,1,3,17
955,2021,1,3,13
956,2021,1,3,14
957,2021,1,3,17
958,2021,1,3,18
959,2021,1,3,20
960,2021,1,14,18
961,2021,1,14,15
962,2021,1,14,21
963,2021,1,14,16
964,2021,1,14,17
965,2021,1,14,20
966,2021,1,14,18
967,2021,1,14,11
968,2021,1,14,21
969,2021,1,14,21
970,2021,1,17,13
971,2021,1,17,17
972,2021,1,17,13
973,2021,1,17,15
974,2021,1,17,14
975,2021,1,17,19
976,2021,1,17,12
977,2021,1,17,13
978,2021,1,17,15
979,2021,1,17,15
980,2021,1,21,21
981,2021,1,21,20
982,2021,1,21,20
983,2021,1,21,11
984,2021,1,21,21
985,2021,1,21,11
986,2021,1,21,17
987,2021,1,21,11
988,2021,1,21,17
989,2021,1,21,19
990,2021,1,24,13
991,2021,1,24,19
992,2021,1,24,15
993,2021,1,24,20
994,2021,1,24,11
995,2021,1,24,18
996,2021,1,24,21
997,2021,1,24,19
998,2021,1,24,16
999,2021,1,24,16
1000,2021,2,1,16
1001,2021,2,1,14
1002,2021,2,1,20
1003,2021,2,1,14
1004,2021,2,1,16
1005,2021,2,1,14
1006,2021,2,1,17
1007,2021,2,1,20
1008,2021,2,1,16
1009,2021,2,1,17
1010,2021,2,4,19
1011,2021,2,4,14
1012,2021,2,4,17
1013,2021,2,4,12
1014,2021,2,4,15
1015,2021,2,4,17
1016,2021,2,4,21
1017,2021,2,4,11
1018,2021,2,4,11
1019,2021,2,4,21
1020,2021,2,7,20
1021,2021,2,7,20
1022,2021,2,7,11
1023,2021,2,7,21
1024,2021,2,7,18
1025,2021,2,7,19
1026,2021,2,7,17
1027,2021,2,7,13
1028,2021,2,7,13
1029,2021,2,7,18
1030,2021,2,21,12
1031,2021,2,21,21
1032,2021,2,21,21
1033,2021,2,21,20
1034,2021,2,21,19
1035,2021,2,21,21
1036,2021,2,21,18
1037,2021,2,21,19
1038,2021,2,21,20
1039,2021,2,21,19
1040,2021,2,28,21
1041,2021,2,28,20
1042,2021,2,28,16
1043,2021,2,28,19
1044,2021,2,28,18
1045,2021,2,28,21
1046,2021,2,28,18
1047,2021,2,28,20
1048,2021,2,28,20
1049,2021,2,28,21
1050,2021,3,7,14
1051,2021,3,7,17
1052,2021,3,7,19
1053,2021,3,7,14
1054,2021,3,7,19
1055,2021,3,7,11
1056,2021,3,7,20
1057,2021,3,7,18
1058,2021,3,7,13
1059,2021,3,7,17
1060,2021,3,14,20
1061,2021,3,14,13
1062,2021,3,14,21
1063,2021,3,14,19
1064,2021,3,14,18
1065,2021,3,14,11
1066,2021,3,14,18
1067,2021,3,14,15
1068,2021,3,14,19
1069,2021,3,14,17
1070,2021,3,21,13
1071,2021,3,21,15
1072,2021,3,21,18
1073,2021,3,21,21
1074,2021,3,21,17
1075,2021,3,21,16
1076,2021,3,21,18
1077,2021,3,21,19
1078,2021,3,21,21
1079,2021,3,21,21
1080,2021,4,11,17
1081,2021,4,11,21
1082,2021,4,11,12
1083,2021,4,11,20
1084,2021,4,11,12
1085,2021,4,11,17
1086,2021,4,11,21
1087,2021,4,11,17
1088,2021,4,11,18
1089,2021,4,11,16
1090,2021,4,18,12
1091,2021,4,18,21
1092,2021,4,18,21
1093,2021,4,18,12
1094,2021,4,18,19
1095,2021,4,18,16
1096,2021,4,18,20
1097,2021,4,18,17
1098,2021,4,18,18
1099,2021,4,18,12
1100,2021,4,25,13
1101,2021,4,25,13
1102,2021,4,25,18
1103,2021,4,25,20
1104,2021,4,25,12
1105,2021,4,25,13
1106,2021,4,25,14
1107,2021,4,25,21
1108,2021,4,25,20
1109,2021,4,25,17
1110,2021,5,2,21
1111,2021,5,2,17
1112,2021,5,2,14
1113,2021,5,2,17
1114,2021,5,2,16
1115,2021,5,2,13
1116,2021,5,2,21
1117,2021,5,2,20
1118,2021,5,2,19
1119,2021,5,2,13
1120,2021,5,9,13
1121,2021,5,9,16
1122,2021,5,9,11
1123,2021,5,9,17
1124,2021,5,9,14
1125,2021,5,9,11
1126,2021,5,9,11
1127,2021,5,9,17
1128,2021,5,9,19
1129,2021,5,9,21
1130,2021,5,23,19
1131,2021,5,23,21
1132,2021,5,23,18
1133,2021,5,23,21
1134,2021,5,23,18
1135,2021,5,23,21
1136,2021,5,23,15
1137,2021,5,23,13
1138,2021,5,23,16
1139,2021,5,23,18
1140,2020,8,22,19
1141,2020,8,22,21
1142,2020,8,22,20
1143,2020,8,22,19
1144,2020,8,22,14
1145,2020,8,22,21
1146,2020,8,22,20
1147,2020,8,22,20
1148,2020,8,22,20
1149,2020,8,22,20
1150,2020,8,29,14
1151,2020,8,29,20
1152,2020,8,29,21
1153,2020,8,29,20
1154,2020,8,29,14
1155,2020,8,29,16
1156,2020,8,29,21
1157,2020,8,29,21
1158,2020,8,29,21
1159,2020,8,29,14
1160,2020,9,19,14
1161,2020,9,19,19
1162,2020,9,19,16
1163,2020,9,19,20
1164,2020,9,19,20
1165,2020,9,19,19
1166,2020,9,19,20
1167,2020,9,19,20
1168,2020,9,19,20
1169,2020,9,19,16
1170,2020,9,23,19
1171,2020,9,23,19
1172,2020,9,23,21
1173,2020,9,23,21
1174,2020,9,23,21
1175,2020,9,23,19
1176,2020,9,23,15
1177,2020,9,23,20
1178,2020,9,23,19
1179,2020,9,23,21
1180,2020,9,26,15
1181,2020,9,26,20
1182,2020,9,26,20
1183,2020,9,26,19
1184,2020,9,26,20
1185,2020,9,26,19
1186,2020,9,26,15
1187,2020,9,26,20
1188,2020,9,26,15
1189,2020,9,26,16
1190,2020,10,3,14
1191,2020,10,3,21
1192,2020,10,3,20
1193,2020,10,3,21
1194,2020,10,3,21
1195,2020,10,3,21
1196,2020,10,3,19
1197,2020,10,3,20
1198,2020,10,3,20
1199,2020,10,3,20
1200,2020,10,24,19
1201,2020,10,24,16
1202,2020,10,24,20
1203,2020,10,24,21
1204,2020,10,24,19
1205,2020,10,24,20
1206,2020,10,24,15
1207,2020,10,24,15
1208,2020,10,24,20
1209,2020,10,24,19
1210,2020,10,28,21
1211,2020,10,28,20
1212,2020,10,28,20
1213,2020,10,28,19
1214,2020,10,28,21
1215,2020,10,28,19
1216,2020,10,28,21
1217,2020,10,28,20
1218,2020,10,28,21
1219,2020,10,28,14
1220,2020,10,31,21
1221,2020,10,31,19
1222,2020,10,31,19
1223,2020,10,31,20
1224,2020,10,31,21
1225,2020,10,31,21
1226,2020,10,31,21
1227,2020,10,31,16
1228,2020,10,31,20
1229,2020,10,31,14
1230,2020,11,7,20
1231,2020,11,7,20
1232,2020,11,7,21
1233,2020,11,7,14
1234,2020,11,7,19
1235,2020,11,7,21
1236,2020,11,7,20
1237,2020,11,7,14
1238,2020,11,7,16
1239,2020,11,7,21
1240,2020,11,18,19
1241,2020,11,18,21
1242,2020,11,18,21
1243,2020,11,18,16
1244,2020,11,18,15
1245,2020,11,18,20
1246,2020,11,18,20
1247,2020,11,18,21
