pid,reg_pos,offensive_awareness,ball_control,tight_possession,low_pass,lofted_pass,finishing,place_kicking,curl,speed,acceleration,jump,physical_contact,balance,stamina,ball_winning,aggression,gk_awareness,gk_catching,gk_reach,defensive_awareness,gk_clearing,heading,dribbling,gk_reflexes,kicking_power,overall
55312,6,70,70,68,67,69,71,71,66,73,79,63,71,70,68,65,64,40,40,40,44,40,67,72,40,62,67
103893,6,68,65,67,66,65,68,59,65,79,80,73,66,69,77,56,76,40,40,40,52,40,64,69,40,74,67
103616,6,63,67,70,69,70,60,64,73,72,73,68,74,63,76,66,68,40,40,40,69,40,68,70,40,65,67
16794,6,66,67,65,66,71,64,64,67,72,72,72,77,68,76,67,69,40,40,40,66,40,72,70,40,71,66
319914,6,67,60,64,66,66,56,63,55,59,73,51,70,60,54,45,64,40,40,40,40,40,60,67,40,54,56
43967,6,69,75,76,74,75,70,77,78,73,75,63,73,72,75,52,60,40,40,40,50,40,64,73,40,80,72
401084,6,59,64,67,65,63,57,60,64,67,74,64,68,70,81,65,74,40,40,40,61,40,56,62,40,67,63
315759,6,61,59,64,78,59,50,55,58,75,53,50,70,60,65,49,64,40,40,40,40,40,60,69,40,53,56
101784,6,75,79,76,76,80,71,68,78,88,90,63,61,90,77,52,63,40,40,40,50,40,55,81,40,74,79
325621,6,75,79,77,75,74,73,70,73,77,80,70,73,77,81,62,68,40,40,40,60,40,67,80,40,79,77
136910,6,84,87,88,84,86,80,81,87,89,92,60,65,80,83,55,62,40,40,40,52,40,68,93,40,74,87
990,6,83,88,87,89,83,83,83,80,80,86,69,80,83,98,56,82,40,40,40,63,40,65,87,40,93,89
125466,7,55,60,62,56,55,51,52,55,64,69,60,62,62,65,51,53,40,40,40,50,40,60,60,40,60,52
124954,7,60,63,63,62,63,59,57,65,73,69,66,60,72,66,52,60,40,40,40,52,40,60,65,40,64,59
134953,7,59,64,62,63,68,55,57,60,72,68,66,62,68,73,62,63,40,40,40,60,40,62,65,40,60,58
143975,7,63,69,75,60,61,62,58,60,73,75,61,61,75,67,51,57,40,40,40,53,40,60,72,40,64,61
144633,7,63,65,66,66,68,59,67,68,67,71,63,61,70,70,60,64,40,40,40,58,40,54,67,40,65,60
143575,7,62,65,65,64,62,60,59,65,74,79,58,60,82,72,56,62,40,40,40,52,40,61,72,40,65,63
401453,7,65,67,64,68,69,59,68,68,67,66,63,65,65,69,58,64,40,40,40,58,40,60,68,40,65,61
58415,7,70,67,64,73,74,62,71,72,73,78,66,74,60,75,69,64,40,40,40,42,40,72,76,40,70,69
130831,7,65,70,75,67,63,56,60,64,72,76,65,63,73,69,59,60,40,40,40,61,40,61,75,40,67,65
125793,7,65,70,70,68,71,66,60,65,83,80,59,67,67,75,54,62,40,40,40,51,40,60,71,40,67,67
55765,7,70,78,83,67,62,80,74,72,75,71,80,75,60,74,69,73,40,40,40,40,40,80,76,40,72,76
40290,7,68,70,68,65,65,67,61,64,79,80,56,63,73,76,52,78,40,40,40,52,40,62,71,40,71,68
122882,7,66,70,71,71,71,64,72,70,76,76,64,67,70,72,54,61,40,40,40,52,40,60,73,40,70,68
108298,7,71,80,81,70,68,65,68,69,72,75,63,60,85,70,50,52,40,40,40,50,40,61,80,40,70,69
315645,7,66,75,64,69,71,66,65,64,78,79,76,71,60,71,65,64,40,40,40,45,40,62,78,40,78,70
370144,7,69,75,76,71,70,67,71,73,82,83,60,63,72,72,50,63,40,40,40,51,40,60,80,40,72,72
121563,7,58,64,66,67,68,63,65,71,79,78,66,76,75,80,68,73,40,40,40,62,40,66,70,40,72,69
106361,7,69,76,75,73,71,68,67,73,77,82,67,70,74,77,51,63,40,40,40,53,40,62,79,40,76,72
55665,7,79,74,76,65,66,79,70,69,86,78,77,75,60,70,63,60,40,40,40,40,40,69,74,40,76,76
379504,7,74,76,79,70,77,70,71,73,84,88,70,64,83,75,51,59,40,40,40,49,40,64,81,40,71,77
122264,7,72,74,73,75,78,64,62,67,84,83,68,73,71,83,70,72,40,40,40,67,40,65,77,40,74,77
46835,7,75,78,75,78,80,75,82,82,73,74,67,69,74,79,68,70,40,40,40,65,40,69,78,40,84,77
2215038,7,79,78,75,79,81,72,66,70,86,90,80,82,74,91,75,78,40,40,40,75,40,82,83,40,79,85
129571,5,56,58,57,57,57,53,55,61,63,62,65,60,62,60,55,59,40,40,40,52,40,52,56,40,63,50
138562,5,62,66,69,67,61,61,62,66,69,72,57,60,64,66,54,57,40,40,40,51,40,60,65,40,64,57
138428,5,61,66,64,67,64,56,60,64,71,69,64,69,66,73,55,59,40,40,40,53,40,60,64,40,66,58
128676,5,61,66,63,65,63,57,60,61,69,68,65,62,66,66,65,64,40,40,40,64,40,64,63,40,65,58
140384,5,65,67,65,67,66,57,64,65,67,70,63,66,68,70,58,60,40,40,40,57,40,60,65,40,70,60
401370,5,65,67,64,68,69,59,68,68,67,66,63,65,65,69,58,64,40,40,40,58,40,60,68,40,65,62
1073863692,5,62,71,72,76,70,63,66,66,68,68,66,62,62,67,59,55,40,40,40,55,40,64,70,40,67,64
1073877480,5,65,68,66,73,70,59,67,68,66,68,63,65,69,71,62,64,40,40,40,58,40,60,68,40,67,64
138543,5,62,70,74,66,68,60,68,62,72,76,65,65,78,69,58,57,40,40,40,53,40,60,75,40,74,64
133911,5,64,70,68,70,69,62,63,68,71,73,65,63,76,72,65,65,40,40,40,60,40,62,65,40,68,66
114590,5,60,67,66,69,70,65,70,67,71,75,65,65,63,70,68,70,40,40,40,63,40,60,68,40,79,65
125925,5,67,71,69,74,72,67,79,80,70,75,62,61,71,71,53,60,40,40,40,52,40,60,70,40,76,67
1073877462,5,64,73,74,73,70,63,59,63,64,63,67,70,74,72,72,75,40,40,40,72,40,65,63,40,74,68
102677,5,65,69,68,72,68,67,63,67,72,73,66,67,72,78,69,70,40,40,40,69,40,67,66,40,74,68
119777,5,62,73,72,71,70,60,68,66,75,71,71,65,76,78,70,71,40,40,40,67,40,64,70,40,69,69
110306,5,65,69,67,70,68,62,58,66,76,74,76,78,65,78,72,76,40,40,40,69,40,73,69,40,73,69
104702,5,67,72,71,76,74,65,80,83,73,74,62,73,71,78,57,68,40,40,40,55,40,61,75,40,82,72
121187,5,66,76,70,77,73,69,77,68,67,62,67,81,64,84,67,75,40,40,40,62,40,74,68,40,82,73
385517,5,65,76,74,76,70,61,63,60,81,75,72,77,69,87,71,75,40,40,40,69,40,75,72,40,80,74
47007,5,69,75,74,77,74,67,61,66,79,77,77,74,73,84,73,77,40,40,40,70,40,66,76,40,83,77
363015,5,75,81,81,80,75,69,70,74,82,86,75,70,85,87,75,80,40,40,40,68,40,60,80,40,76,82
136431485,5,73,88,85,83,80,69,66,71,84,79,82,90,68,91,80,89,40,40,40,79,40,76,83,40,82,87
7840,5,66,75,75,75,78,67,76,77,68,66,63,72,67,73,54,59,40,40,40,56,40,66,71,40,76,68
129598,10,58,55,55,54,52,55,52,57,68,68,60,60,62,56,45,46,40,40,40,45,40,52,60,40,56,51
401327,10,68,64,60,65,57,68,62,62,68,68,68,63,63,64,45,49,40,40,40,56,40,62,67,40,67,58
141548,10,66,64,63,62,58,64,59,62,74,73,63,65,66,67,53,59,40,40,40,51,40,61,67,40,65,59
54913,10,69,78,79,73,73,70,67,67,78,78,68,69,60,77,67,70,40,40,40,50,40,62,74,40,75,73
134799,10,64,65,63,60,61,63,56,65,77,82,62,62,80,67,54,54,40,40,40,52,40,60,66,40,68,63
141027,10,61,69,67,65,61,57,55,64,79,87,61,61,75,67,56,65,40,40,40,53,40,50,77,40,62,63
108414,10,66,73,66,70,67,64,66,68,76,78,54,60,73,75,50,44,40,40,40,50,40,60,72,40,64,66
140916,10,60,66,63,63,66,56,64,70,75,73,63,67,71,74,55,71,40,40,40,50,40,61,69,40,70,63
114324,10,63,70,67,62,65,63,68,66,86,81,62,63,80,71,53,50,40,40,40,50,40,60,69,40,67,66
132258,10,66,68,67,64,63,67,62,68,76,74,65,70,67,71,56,63,40,40,40,54,40,60,65,40,75,65
115036,10,64,73,71,70,73,65,69,73,78,76,61,60,66,67,52,65,40,40,40,50,40,60,74,40,67,67
128343,10,66,76,72,72,67,66,66,65,77,83,62,61,85,72,46,50,40,40,40,48,40,60,78,40,66,69
60880,10,70,73,71,70,69,67,62,61,77,79,63,60,72,77,61,54,40,40,40,55,40,62,72,40,72,69
43993,10,73,69,67,65,65,70,68,68,74,75,76,76,68,76,50,51,40,40,40,55,40,73,68,40,72,68
121524,10,66,71,71,65,65,70,66,68,90,86,57,70,72,73,52,66,40,40,40,51,40,61,75,40,72,71
1073802354,10,74,79,73,73,70,68,73,78,76,85,59,64,82,73,46,53,40,40,40,45,40,52,78,40,80,72
54841,10,73,72,72,64,76,67,60,68,75,72,68,74,60,78,68,64,40,40,40,40,40,65,70,40,72,69
104751,10,72,76,78,72,71,69,60,67,84,85,70,75,73,74,52,55,40,40,40,50,40,65,79,40,73,74
112480,10,74,70,68,67,62,71,64,64,79,77,81,77,71,75,57,64,40,40,40,61,40,75,73,40,78,72
42033,10,72,77,76,72,74,71,65,75,87,86,70,68,78,78,52,70,40,40,40,50,40,61,78,40,78,77
102623,10,75,82,80,79,79,72,77,81,86,85,70,65,78,76,56,65,40,40,40,58,40,68,84,40,76,80
188860431,10,80,87,86,81,83,78,68,85,90,87,74,72,89,86,63,63,40,40,40,58,40,71,89,40,82,88
18881879,10,96,97,97,91,92,99,95,91,82,91,64,71,97,79,51,51,40,40,40,46,40,71,98,40,83,96
53007,1,43,51,46,53,61,49,53,41,55,65,51,64,55,58,62,63,40,40,40,67,40,62,51,40,51,51
58035,1,59,74,58,71,74,64,64,59,71,69,75,78,60,72,69,66,40,40,40,69,40,72,68,40,73,68
132358,1,50,56,58,61,60,50,55,57,66,69,66,69,67,67,65,74,40,40,40,68,40,65,53,40,71,58
134947,1,56,58,60,64,66,50,57,56,66,63,65,69,66,65,63,72,40,40,40,65,40,66,63,40,72,57
129223,1,55,65,62,65,64,45,57,55,65,58,69,77,61,71,68,71,40,40,40,69,40,71,55,40,69,61
136394,1,51,63,60,62,58,48,54,63,68,69,76,73,66,73,64,68,40,40,40,65,40,70,59,40,70,62
56046,1,52,74,73,71,69,54,57,56,76,75,80,72,60,78,76,75,40,40,40,69,40,75,72,40,70,71
106359,1,59,62,59,64,63,47,60,61,66,68,70,80,62,65,72,68,40,40,40,73,40,71,60,40,70,64
37688,1,58,60,56,66,64,55,59,56,69,69,72,74,63,67,71,75,40,40,40,72,40,75,61,40,71,65
112693,1,56,65,63,66,62,55,55,57,71,70,73,73,64,73,73,70,40,40,40,71,40,68,64,40,68,66
127342,1,56,65,65,65,66,48,55,58,66,68,72,75,70,72,75,70,40,40,40,72,40,73,62,40,72,66
52892,1,61,73,73,62,64,61,66,69,80,84,78,68,60,86,71,75,40,40,40,68,40,62,73,40,69,74
134871,1,59,66,67,68,65,49,59,61,74,76,77,73,65,70,69,72,40,40,40,66,40,69,64,40,70,66
42306,1,57,65,62,70,67,58,53,59,69,68,75,78,65,70,75,72,40,40,40,75,40,75,66,40,70,69
117773,1,66,70,60,71,68,64,58,63,67,67,67,70,70,75,72,68,40,40,40,73,40,74,66,40,70,67
40324,1,58,66,59,70,66,64,56,56,72,68,78,80,66,72,76,66,40,40,40,75,40,77,66,40,76,71
112295,1,60,69,65,70,72,59,62,58,75,72,80,77,65,74,74,75,40,40,40,72,40,66,67,40,68,69
109906,1,59,66,60,67,72,54,53,59,75,71,82,82,61,83,79,77,40,40,40,81,40,80,58,40,70,76
110677,1,55,68,62,74,70,56,54,57,74,70,82,83,65,75,81,83,40,40,40,80,40,83,64,40,68,76
103581,1,57,73,67,74,73,56,55,59,72,71,79,78,72,81,82,80,40,40,40,78,40,76,67,40,74,75
63718,1,63,70,71,79,75,61,61,63,68,68,88,78,66,75,84,81,40,40,40,85,40,85,65,40,73,80
2208359,1,64,76,70,81,75,57,62,69,79,76,87,93,71,83,86,87,40,40,40,90,40,89,72,40,69,87
265392934,1,66,82,83,85,84,62,66,82,86,80,92,90,81,85,91,86,40,40,40,89,40,91,75,40,82,91
133424,2,45,53,57,54,52,46,49,55,71,73,62,60,61,62,57,60,40,40,40,52,40,60,59,40,62,53
122491,2,59,60,59,65,69,45,54,58,63,65,64,68,68,63,64,68,40,40,40,63,40,61,63,40,59,58
139168,2,59,60,58,65,69,45,61,62,63,62,64,68,68,64,64,66,40,40,40,68,40,68,61,40,69,59
140050,2,54,60,59,60,63,55,57,60,72,74,66,67,67,69,65,68,40,40,40,64,40,61,61,40,70,60
118948,2,57,60,58,61,59,53,53,55,81,77,71,71,73,72,66,69,40,40,40,63,40,64,58,40,65,63
138310,2,61,67,67,63,68,56,60,72,71,67,62,72,65,70,58,62,40,40,40,58,40,62,68,40,65,62
389317,2,61,63,63,66,64,45,61,60,79,75,67,70,66,68,66,64,40,40,40,67,40,67,65,40,68,64
103166,2,58,67,62,70,65,56,53,63,76,77,71,67,63,75,63,61,40,40,40,68,40,70,65,40,66,66
119851,2,60,63,62,62,64,65,68,67,75,75,60,68,65,70,67,65,40,40,40,60,40,60,65,40,77,64
52978,2,67,76,75,79,78,70,76,78,72,76,68,66,59,73,69,71,40,40,40,48,40,66,76,40,76,74
55959,2,65,70,70,65,67,62,60,60,81,76,75,71,60,79,69,71,40,40,40,65,40,64,70,40,72,71
117204,2,66,65,63,66,70,60,62,65,73,73,73,67,65,74,64,68,40,40,40,65,40,62,67,40,71,67
60938,2,60,70,68,66,72,60,70,73,74,77,66,62,75,76,63,60,40,40,40,61,40,60,68,40,68,67
133368,2,62,67,67,69,67,57,56,64,76,78,62,60,73,78,79,70,40,40,40,71,40,60,70,40,73,69
120440,2,61,67,66,66,67,63,55,59,75,77,71,73,67,77,69,71,40,40,40,64,40,71,69,40,76,70
45338,2,67,71,59,71,66,62,60,70,80,84,65,72,60,81,64,64,40,40,40,66,40,64,74,40,78,71
133668,2,64,71,71,67,71,61,56,61,77,83,66,77,64,72,72,75,40,40,40,65,40,65,66,40,79,72
107084,2,62,70,67,67,61,60,67,68,71,75,82,66,84,88,65,73,40,40,40,68,40,60,69,40,77,73
110685,2,67,71,70,71,73,53,60,65,80,81,68,74,75,84,70,72,40,40,40,70,40,66,71,40,66,75
123152,2,65,69,72,68,71,61,64,71,79,80,73,64,81,84,70,79,40,40,40,69,40,68,67,40,71,75
61036,2,71,79,76,73,76,64,70,77,81,79,73,67,73,81,67,72,40,40,40,60,40,63,81,40,72,77
43985,2,72,79,78,77,79,65,65,76,85,83,77,77,73,85,76,80,40,40,40,73,40,75,83,40,78,84
141590,2,78,83,86,75,85,80,95,98,91,90,80,71,89,90,72,85,40,40,40,70,40,61,80,40,99,90
57934,11,68,74,60,70,72,71,63,62,78,78,74,71,60,75,65,49,40,40,40,40,40,68,75,40,72,70
139162,11,68,64,60,65,57,68,62,62,68,68,68,63,63,64,45,49,40,40,40,56,40,62,67,40,67,58
119830,11,62,65,62,58,55,62,55,58,72,73,75,63,69,76,45,59,40,40,40,50,40,60,66,40,66,59
135311,11,65,67,65,63,60,63,61,63,78,80,65,63,70,66,45,56,40,40,40,43,40,62,70,40,67,61
144036,11,64,65,61,67,61,61,66,67,76,78,63,62,70,66,55,58,40,40,40,51,40,60,70,40,66,62
140963,11,66,72,71,63,60,67,69,71,74,75,61,61,73,67,48,49,40,40,40,46,40,60,71,40,70,63
144614,11,70,67,69,64,59,69,60,64,75,73,70,63,72,70,45,50,40,40,40,52,40,67,74,40,72,65
112928,11,67,69,66,65,63,66,64,68,72,73,70,71,66,69,47,58,40,40,40,51,40,71,68,40,73,65
319905,11,71,70,60,69,64,72,60,55,75,72,73,76,60,77,70,49,40,40,40,48,40,78,71,40,75,68
109180,11,70,74,75,70,71,67,68,71,75,77,65,60,73,69,49,49,40,40,40,50,40,60,75,40,69,68
129213,11,70,73,69,66,61,71,64,69,75,78,67,65,70,72,51,56,40,40,40,54,40,60,74,40,73,67
47929,11,67,71,73,67,70,70,74,72,72,71,64,68,68,69,52,54,40,40,40,51,40,65,70,40,77,67
52958,11,67,76,75,79,78,70,76,78,72,76,68,66,59,73,69,67,40,40,40,48,40,66,76,40,76,74
59674,11,70,78,76,75,68,69,66,72,71,78,61,66,71,70,51,57,40,40,40,50,40,62,79,40,74,71
55281,11,75,82,60,82,72,65,73,75,72,81,62,77,59,76,67,49,40,40,40,51,40,60,75,40,67,72
1073800760,11,77,70,71,68,64,74,68,66,78,79,73,70,64,74,56,70,40,40,40,53,40,62,73,40,76,72
102732,11,77,79,70,74,70,73,71,72,80,77,67,75,62,75,46,57,40,40,40,43,40,79,73,40,84,74
6526,11,75,80,71,78,82,77,79,76,73,66,65,76,77,65,54,58,40,40,40,49,40,63,75,40,87,75
60235,11,77,82,85,80,68,70,70,78,79,84,70,60,80,76,52,60,40,40,40,55,40,69,80,40,76,79
63761,11,82,86,87,86,82,85,88,85,65,72,71,73,78,75,50,66,40,40,40,56,40,75,80,40,84,82
202501504,11,85,91,89,84,82,85,73,79,84,90,81,68,89,85,49,56,40,40,40,51,40,76,94,40,84,90
141593,11,92,95,93,91,86,95,80,80,79,77,69,83,82,78,50,70,40,40,40,50,40,68,93,40,93,92
138115,11,93,99,98,96,88,92,81,88,79,77,71,82,86,79,51,76,40,40,40,53,40,75,95,40,88,94
55363,0,41,40,40,40,53,40,47,46,58,68,67,68,58,46,43,40,62,60,61,43,60,50,43,70,66,54
129596,0,42,48,46,48,46,40,45,47,52,54,69,72,62,51,48,54,69,62,71,46,63,70,43,63,68,58
121529,0,41,43,46,53,58,41,45,44,58,57,65,70,65,52,45,47,69,72,68,42,70,70,43,69,68,60
142728,0,42,51,44,58,56,40,52,45,61,58,71,67,54,61,46,51,65,63,67,54,65,60,45,69,70,57
119154,0,42,44,45,48,50,42,48,45,62,65,76,78,65,55,42,45,71,74,75,45,68,60,42,73,68,66
132890,0,42,51,46,55,58,40,51,45,56,54,77,72,49,56,51,47,70,69,68,53,71,64,49,70,74,62
126911,0,40,51,46,54,57,40,52,47,57,52,77,76,63,53,51,55,65,66,68,54,61,65,50,69,78,59
141046,0,40,50,45,54,58,40,49,46,60,55,78,77,61,53,52,56,66,64,69,57,63,69,48,67,78,59
109019,0,40,51,45,52,58,40,49,51,57,51,74,85,56,61,48,49,72,69,76,45,65,70,49,70,80,65
136873,0,42,58,46,58,60,40,55,45,59,58,68,71,63,56,51,47,67,68,64,65,65,70,60,65,70,57
117295,0,42,53,47,54,57,40,46,45,62,62,72,76,60,56,48,45,78,75,78,50,75,62,48,77,72,69
132429,0,42,58,46,58,60,40,55,45,59,58,74,73,63,56,51,58,73,74,70,56,67,63,48,69,72,63
58117,0,42,54,46,54,62,40,49,40,70,75,79,80,60,60,48,47,74,58,60,47,61,60,59,57,75,57
130159,0,42,51,51,57,60,40,51,47,65,60,77,74,62,59,55,56,68,66,65,67,68,60,54,71,79,60
120429,0,42,58,46,58,60,40,55,45,60,58,74,66,65,56,51,47,73,74,77,65,72,70,60,77,67,66
43806,0,40,45,46,55,60,42,50,50,57,59,81,75,70,58,58,47,78,75,80,60,77,60,44,85,75,73
109717,0,42,58,51,58,60,40,58,52,59,58,79,70,60,56,51,62,76,75,72,60,77,60,60,73,72,67
123763,0,40,52,48,56,61,40,51,50,61,55,83,82,64,61,51,52,78,74,83,48,75,70,51,84,82,73
106266,0,41,53,52,59,64,40,53,57,59,56,81,81,60,59,56,53,83,76,77,60,77,62,53,79,81,73
30196,0,41,58,51,64,67,51,50,51,68,60,80,78,63,55,51,48,84,82,79,54,81,63,51,78,83,74
299087,0,48,56,59,61,69,40,55,41,62,69,78,86,54,61,45,47,88,82,85,62,81,70,50,92,80,80
79736920,0,43,63,55,67,63,44,63,44,68,67,86,81,62,63,48,51,96,93,99,50,91,63,49,98,85,90
29406943,0,43,74,69,78,82,42,62,55,68,69,82,85,72,62,64,61,98,97,96,63,95,62,62,98,94,91
141578,8,58,65,63,60,54,58,62,63,63,69,52,54,58,55,50,52,40,40,40,50,40,50,67,40,58,52
116640,8,62,69,66,70,64,64,62,66,67,75,57,61,67,61,53,59,40,40,40,50,40,52,73,40,68,60
140773,8,65,69,71,69,66,59,61,65,72,73,62,61,68,65,51,55,40,40,40,50,40,60,70,40,65,61
106101,8,70,66,65,66,66,58,62,65,67,66,65,65,68,71,60,65,40,40,40,58,40,60,68,40,63,60
131745,8,65,73,75,69,72,66,71,70,68,75,61,60,75,69,43,44,40,40,40,46,40,60,72,40,64,64
134993,8,67,67,66,66,62,64,62,63,73,71,71,73,66,68,57,60,40,40,40,54,40,64,68,40,74,62
143785,8,69,68,67,63,65,66,64,67,70,71,64,62,69,73,58,64,40,40,40,56,40,64,71,40,72,64
42978,8,65,70,75,65,67,66,75,76,69,75,65,63,75,67,50,57,40,40,40,50,40,60,72,40,76,64
115956,8,65,73,70,67,69,63,65,65,72,76,65,68,73,73,56,65,40,40,40,53,40,62,72,40,70,67
108745,8,69,72,71,72,69,65,69,73,73,71,64,77,62,72,52,58,40,40,40,55,40,65,72,40,72,67
